Index,Sentiment,SentimentText
87,1,"@Titania_Aelita Don't worry I'll come and save you, with my 4x4 and my outstanding swimming skills "
88,1,@Titania_Aelita sounds fantï¿½stic!  
89,1,@titanite lol happy you like it 
90,1,"@titaniumfish umm.. NO. Nikon is better than Canon. But then, it's the photos that matter, not the camera "
91,1,@siriuslyheather That's cool. They look nice 
92,1,@siriuslyheather You always know where to find me. I wish I could help &amp; I'll do all I can 
93,1,"@siriuslyheather you're welcome, dear! wish you all the best "
94,1,@SiriusMz_Stylez good morning and happy Sunday to you as well 
95,1,@SiriusMz_Stylez Thank you so very much 
96,1,@sirjec hehe absolutely  really looking forward to the whole experience 
97,1,"@Sirjohn_writer  Oh god, yes. Pour me a glass too, will you?  "
98,1,"@Sirjohn_writer it is almost winter ... cold in the south of Brazil, but here is is very nice and warm "
99,1,@SirJRB Awwww you. 
100,1,@sirkleck and multi and/or new media 
101,1,@Sirkobemvp u know I hold ur opinion real high  imma look out for kobe scoring 34 too!
102,1,@sirkyle hahhahha that was funny 
103,1,@SirLancelotSV @tearn @djc8080 I guess I have half a mind then since I tweet and watch tv at the same time 
104,1,@sirmax70 ...Not even a raisin. 
105,1,@SirMikeyB  Then sleep is next on your list 
106,1,"@sirmitchell   That just reminded me of Eddie Izzards stand up routine in drag.  I'm gonna youtube it.    Thanks for that, cake or death?"
107,1,"@sirpedro83 Cool thanks heaps, I appreciate it "
108,1,@SirPrince88 Lakerssssssss 
109,1,@SirRawlins Brilliant.. I'd come to see you.  I wudnt mind presenting at some point but wud hav to build up to it
110,1,"@SirRawlins Hmmm, that's not a crazy idea "
111,1,"@sirreigns lol at lucky if I follow u back...if u talk 2 me, ill follow...I love meting new people, spreading smiles "
112,1,@SirReigns Now that's what i like to hear!   You won't unfollow us little people on Twitter when you make it big will u? 
113,1,@SirReigns Thanks for that shout! #ff Hope all's well with you 
114,1,"@sirrenarae: baby, you have got to get on this  where ARE you???"
115,1,@Sirthinks why dont you come play?? 
116,1,@sirtwist cool. enterprise messaging platform.. so how do we chat? 
117,1,@Siryann Thank You  No i'm not.
118,1,@SisaMaire damn straight you do  welcome to twitter
119,1,@Sisanie if it's Vegas i'll be there that weekend too 
120,1,@siseleanor  so how am i goiing to find out her MSN if u cant rite it down ? !   :o
121,1,@siseleanor Good. if weather is ok u could write essays outside.  happy writing
122,1,"@sishizaki Awww... ok, Have a good night! Thanks for the enlightening convo! lol.  "
123,1,"@sishizaki based on you twit avatar, I think the contrary, you seem pretty darn happy to me... "
124,1,"@sishizaki LOL! U just made me realize it's almost 3am here in WA...  Yes, &quot;bark like a dog&quot;!  There u go, u're back!! "
125,1,"@sishizaki OoOoh sounds like a full day of fun and ,, yeah full day "
126,1,"@SisIrmaLopez ok, testing 123  you should see me on your phone now."
127,1,"@sisk_meli Heavens no ... I'm not that small, and probably not that trendy ... just following a friend around "
128,1,@siskack new car's effect? 
129,1,"@siskybusiness Ha, I'm listening to 'Black Mamba' right now.  Weird."
130,1,@siskybusiness Yeah! I'm for Magic also! 
131,1,@sismita hehehe my sinetron act! iya ta eh nanti kita perpisahan ssc yuk trus beliin hadiah buat caturrrr hohoho 
132,1,@Sissillie i honestly hope the theatre gets hit by a meteor before you get there 
133,1,@sissybufu gd mornin sunshine! Rya gonna dance yur way in2 wrk 2day? Smiling &amp; dancin ur blues away! 
134,1,"@SiSSyGrl Oh no! I mean, it is awesome your friend is coming, but OH NO to ALL the kids and the lack of sleep "
135,1,"@sistapeeps. LOL!!! You silly woman from outer space. Yes, he does like boys.... "
136,1,@sistapoetry It is good!  How are you doing?  Monday's are just Monday's... you can't expect too much!  angie
137,1,@titasays yup got your reply  was offline and going offline now again too goodnight
138,1,@titaxy Good to know that 
139,1,@titi_215 thaaaaaank yoooou!!! 
140,1,@titicuervo promise you'll report me? 
141,1,@Titizera Haha you can predict the future 
142,1,@titolopez @erinhotchkiss @GennaGirl @CaseyLeePhoto Have you heard about the 10 for $10 tour with all of those bands on it? 
143,1,@titorbcjr88 why u booing at grandma? You should take her out around sb.  hehe just teasing you.
144,1,@titothebuilder how crappy for him 
145,1,@Tittch Good morning Rita.  Do you still have have witches in Sussex ? 
146,1,@Tittch I'm tweeting via my phone  We don't have the PC on at weekends and I'm not back in the office until Tues evening
147,1,@Tittch Just file me under *seduced* sweetie... 
148,1,"@Tittch Just got back from a shopping exped. Only been to Lewes once but I agree, tis a nice place indeed. There's a micro-brewery there "
149,1,"@Tittch Morning to you,too  We WILL get round to having a proper conversation "
150,1,"@Tittch Sing your heart out then, my little nightingale! "
151,1,"@Tittch suitably recovered from the mega-wedding  reception then  oh, and a good morning to you too "
152,1,"@Tittch Well I'm interested, sweetie! Nice shots... post some more! "
153,1,@TittieBaby oh so you expect me to get your leftovers?...Fuck it. Sup ladies 
154,1,@tittiebaby You shouldn't be tryna b sexy on sunday . . it's the lords day 
155,1,@tittsworth Just heard about Blisspop Presents D.C. Summer Extravaganza 
156,1,"@Tittybird ooh thanks for the tip, i'll have to give that a try "
157,1,@TittySalad *waits 4 you 2 go 2 sleep* grabs blowtorch* glue&amp;staple gun and ties your tubes YEA BITCH MAKE ANOTHER 1 
158,1,@TittySalad wow so you having a charles hamilton NO SHOTS FIRED 
159,1,@SistaWAHMs Hey gals! morning and happy mom's day! JODY from Gina's gold class participant! 
160,1,@sisterchen you need to not be at work and need to come to the beach 
161,1,@sisterhoodart  ooo why are you off to grande paris? 
162,1,"@sisterlisa Yep   Well, I saw the before-and-after.  My Dad has seen a bunch live "
163,1,@sisterpatterson haha i'm a male homo   thats me in my pic.
164,1,@SisterRoma LOL that would make you horny. 
165,1,"@SisterSeasalt ROTFL!!!!!!! That might actually work, tbh. BTW our bellydancer friend will be in attendance tonight as well. "
166,1,@sisterspooky Can I have some of your storms? 
167,1,@Sisule - reading her book too and somewhat impressed. Nothing new but her audacity is refreshing. (What version are you reading??!!! 
168,1,@SisyphusFragmnt Ill grab the needle and thread. 
169,1,"@Sitatara_x3 It was a great time, Tara. I'm so glad we hung out. "
170,1,"@SitaWW it is that bad, i look like an orange with streaks everywhere! and i plan on wearing green tights! "
171,1,@sitbones Biskit is great! He's chillin on the back porch! He frolics in the ivy and has no clue what he's doing to me! 
172,1,@SitckyNSweet  you mean her kept woman.  Never mind thanks for busting my bubble 
173,1,"@sitinafsiyah That's the sweetest card ever!!! And so cute too!  Thank you, Naf, I'm really touched... Enjoy your holidays!"
174,1,"@SitsEtheX You'' get there sis, I know you will!  Patience is key right now, but it will pay off, big time in the long run. "
175,1,@SITSGirls haha I thought about it... but I just don't think it's in the cards 
176,1,@SITSGirls it does indeed. hope you are well too! why are you awake at this hour? 
177,1,@sittakarina i dont really like this side of Hanafiah... when will you write about nara? the source of all this mess 
178,1,@sittin_here I do like it.  
179,1,@sittinhere_ yes its a big hint.  u are businer than I so let me know your schedule now thru next week 
180,1,@sivi911 Awww! You're awesome. So thanks 
181,1,@Sivsaysthis happy birthday kiddo 
182,1,@siweb Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
183,1,@siwhitehouse   I'll let you know when I've finished season 1.
184,1,@siwhitehouse and you can't even blame the beer 
185,1,"@siwhitehouse Definitely! I'm sure I've got some glow sticks somewhere  Beltram, Oliver Bondzio, Pascal FEOS, Si Begg on last.fm so far..!"
186,1,@siwhitehouse oh dear. Sounds horrid. Best wishes for speedy recoveries to all 
187,1,"@Siwibisonolagi Hi Mr. Nunu, actually do you completely understand about how to use twitter ? Be active please..... "
188,1,@SIX3INHEELS tell chris his real fans support him 100% 
189,1,"@six8eight6 hope the jetlag wears off soon so we can catch up dear, school starts in a week, might be very busy by then "
190,1,@SixFlags hey give me a heads up on the next time u in nj twitt hunt sounds like fun really wish u was goin today again  ill ride k.k. 4u
191,1,@sixgauge im following u man. follow me 
192,1,"@sixmode If you can still Twitter, they aren't doing a good job. Just kidding. Happy birthday! Now go drink (legally)! "
193,1,@sixsisters Very Clever!! here's lookin at you!! 
194,1,"@sixstepsrecords i'm still holding out hope that one day, louie will begin twittering. "
195,1,@sixtematik thanks 
196,1,@SixthandI you are my new best friend.   http://savethedeli.com/  I have a new cause!
197,1,@sixthessence Really? It looks so smooth though! Mine just looks like a jungle out of control 
198,1,"@sixthofdecember Oh. Well then, sticking to good ol' Firefox, I am! "
199,1,"@sixthofdecember you don't have to say anything interesting! just say what you are doing or stuff.  but yum, chinese! sounds good to me "
200,1,@sixtiesguy I've been missing you! You probably tweet when I'm not looking!  
201,1,@SixTimesBlue true...and there's also the fact that I live in another country and have a different time zone :| hmm...it'd been cool tho 
202,1,@sixtwosix OMG. That explains much about its twistedness 
203,1,@sixtwosix thought you'd like it 
204,1,@Sixxjohn i can. you look good today  lol
205,1,@Sixxjohn i think i been followin u 4 bout a week so yea kinda 
206,1,@sixxxhole Thanks Spence!! No problem!! Thanks for coming through to support!! Glad you guys had a good time!! See you in the studio!! 
207,1,"@siyaadah My mom is amazing.She is so organized and I'm a real scatterbrain, a little ADD I found out late in life, wish I had her skills "
208,1,@siyab it has been long I have seen you on twitter... Your avatar rocks as always 
209,1,@siyab thanks siyab.. 
210,1,"@SiyNTa hiyaa, thanks for following "
211,1,@Siz_Star friends is awesome. my name is earl isn't. 
212,1,@siz_star i just wana add it to my rubber duck collection  Simon Bird on bgmt? Oh i love him &lt;3
213,1,@sizemore @sizemore you making me lol again! thanks 
214,1,"@sizzlemaker I think they will, if they are smart!! "
215,1,"@sizzler_chetan Along with that my check shows the amount clearly in public, glad the staff didnt check it "
216,1,@sj_chicago shush! 
217,1,@sj_martin  wow .. u hater LOL ... have a drink for moi. 
218,1,"@sj39 Beautiful view.  Vegas is amazing.  Crazy, scandalous, yet unique all at the same time "
219,1,@sj39 stay in Vegas as long as you like. No need to get ready for the season.  
220,1,@sj39 yea.  but not an agent so there is hope for me 
221,1,@sjane72 tell us more... 
222,1,@sjav good  luck..wish I could b there 
223,1,@sjay1 Jon McLaughlin. Kings Of Leon. Ron Pope. The Flaming Lips. Fleetwood Mac. Yeah...thought I'd contribute 
224,1,@SJayyS  Tink Tink Tink  and many more Tinks to you and all the tweeters out there 
225,1,@sjcNKOTB thank you 
226,1,@sjcNKOTB thanks girl! 
227,1,@sjcNKOTB Thanks! All most of us care about are the cutest boys ever from Boston! 
228,1,@sjcNKOTB Your welcome.  Enjoy your day too! NKOTB and Full Serivice!! 
229,1,@SJCooks TY for the FF Steph 
230,1,@sjday I can't wait to read it! Thanks for the laugh  Having fun with the first book 
231,1,@sjivar Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
232,1,"@SJKPDX Sam, control yourself. "
233,1,@sjkshanti Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
234,1,"@sjlincoln um...ditto, of course!  "
235,1,"@Sjmalcol He just also seems to have this fake-confidence, but it's so transparent that it's irritating... Let's pretend that makes sense "
236,1,@sjoes Thanks so much. I'm okay. It's just depressing and I already have strong feelings because of my childhood and sibs etc. I'm fine. 
237,1,@SJPhotographer I bet you're glad you've got a well oiled workflow - I'm sure you'll blast through them in no time. Have fun! 
238,1,"@sjrobertson Awesome pic, u both look great "
239,1,"@sjseb sheeeesh, i got your message too late. maybe next time we're on frontlines again.. "
240,1,@sjsmith88 haha hey as long as it makes you happy who cares? 
241,1,@sjtryon They both look hungover! 
242,1,"@sjwalk_a  $$$ thats what lmao movies cost money, last check went to rent and bills "
243,1,@sjwoodr Thanks for YOUR #followfriday! 
244,1,@SJYWorld we just got into vegas. We're at our hotel now. 
245,1,@sk8brdjad3  get yo lazy ass up!
246,1,"@sk8geek Nah, I'd like to give it a go though "
247,1,"@Sk8ieSH HAHAHA!! It looks really creepy! You should have seen Ellen, she totally destroyed some random actress' hair by that thing "
248,1,@sk8inmetal hey onur  follow me  - berrin
249,1,@Sk8KDeezy IM EVERYWHERE LOL SIKE BUT I ONLY BEEN ON HERE FOR LIKE A WEEK AND SOME CHANGE 
250,1,@SK8TERIZHAPPY yea im here 
251,1,@skachee It isnt just for 2am anymore 
252,1,@skacurtice at least you are watching Firefly 
253,1,@skandarkeynes  hei. i very like you. you're very cool and you're acting in narnia so awesome. please reply.
254,1,@skandhar Fishing..Applebees..movie..Perfect Friday 
255,1,@skankyfish I've had 3 MAJOR career changes so far. Started off in science 2 (PhD/postdoc). May even end up in fitness. Go for it 
256,1,"@skankyfish super-cool great-niece's dad (my nephew) follows me on twitter, so he'll let her know, I'm sure ... "
257,1,"@skankyfish Well done, Nancy - an increase of 10 reps is a great improvement. I look forward to hearing of your next  increase "
258,1,"@skar Only played one mission, but it's very very cool "
259,1,@skarkrow clubs around here have so much drama... I don't want to talk about this guy your friend knows... I just wanna dance!  
260,1,@Skarlett_ and they have never had a crash only a almost crash which is better than alot of other airlines 
261,1,@skashliwal Ahhhh.... thank you very much kind sir . God Bless! 
262,1,@skashliwal Good morning  How are you today?
263,1,"@skashliwal Namaste _/|\_ my friend, I'm doing well, and you? "
264,1,@skashliwal Thank you ! 
265,1,@skashliwal Thank You!   #quote #gratitude #quote
266,1,@skater0399 slave huh i already have a few of those go to caits party im sure she could use a slave  remember to put on your penis
267,1,"@SkateRyan If I didn't know how much you need the money, I'd tell you to leave a job for someone else!! "
268,1,@skathi @Theresawanng Google Translate is a gift from above! 
269,1,"@skaw have you tried 'controlled crying' Jake. seriously, it sounds awful but after two nights our little'un sleeps like a 'baby' now! "
270,1,@skc0602 did you read it?  
271,1,@skdev bhai itni mushkil english na likho... Goeos over my head... 
272,1,@SKDickey Congrats girl!!! Celebrate anyway...it's quite an accomplishment! 
273,1,@SKDickey haven't yet 
274,1,@skeeen hahah he's going!? 
275,1,@Skeetchbook strawberry HÃ¤agen-Dazs? You will gain weight..haha! jk 
276,1,@skeetonmytwitts its slimy but its fun 
277,1,@Skehal you don't hate me Liam  Where you planning on going?
278,1,@SkeleSasquatch The weather was amazing! Thanks for the well wishes 
279,1,@SKeleven oh come on...you are a Blonde waiting to happen! 
280,1,@SkepticPimp This chick????? 
281,1,@SkepticZone ready for the 30th mate?  Should be great fun! We have people spreading fliers and posters around unis
282,1,"@skeskali Hmm, I like sweet + savory, but I dunno if I cd get my mind around that. Might try anyway  #foodplay"
283,1,"@skeskali sure to brighten your own mood as well as the mood of anyone who crosses your path. Did I say cross? I mean, &quot;encounters you&quot; "
284,1,@sketchbookinc It'll be hilarious! We'll be disappointed if you don't. 
285,1,"@sketches darlin', i am in favour of sharing him as much as you allow me, as i am not claiming preference.  upijam sve sa cold roses opet!"
286,1,@skhensley Thanks for your comment!  Proud to be your first!  Thanks for reading!! 
287,1,@skibbymeow yeah moshcam 
288,1,"@SKILLETfan01 haha, you liked that did ya "
289,1,@SKILLETfan01 hahaha I know! Arch I've gotta take a quick walk but I'll be back and we can continue our Convo of akwardness 
290,1,@SKILLETfan01 its a Celtic sister symbol. My sis &amp; I got matching ones 
291,1,@SKILLETfan01 okay I'm back  almost ready to read your story!
292,1,@skillzhurachi Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
293,1,@skimhannahkeys @AliciaSkimbit i like your approach to get the twitter power 10 to promote good.ly hammer em! 
294,1,@skincare_beauty 
295,1,"@SkinCareDoc I am so not going anywhere, Andre. I am here for the duration. Well, until I go home, that is. "
296,1,@SkinCareDoc Thanks for the retweet.    http://TwitPWR.com/gyw/
297,1,@SkinFaceMcGee You're description of this Sat. morning was perfection...thanks.  Seattle is following suite.
298,1,"@skingirl69 dunno what it pays, i'll send him a text later to remind him to hint around to see what the deal is... "
299,1,@SkinJunkie thanks  and some day I will get back to my twestory where a story is told via tweets.
300,1,@skinnermike Hello! I just found out that you're coming to Poland in August  I'm so happy. Can't wait for the gig!!!
301,1,@skinnermike i bet the piano loves you more 
302,1,"@skinnermike me neither! also, what's a nut allergy ?  "
303,1,"@skinnermike when you toured aus/perth, i blew you a kiss and you blew me one back. I'm sure you remember......haha  you rocked my world"
304,1,@skinny_legs well I am not going on a trip  just moving flats... humdullah
305,1,"@Skinnybobjunior yeah everyone seems to like that one!..there are better ones with me and his mum! lol, he's such a lad!  haha xx"
306,1,@skinnyboyevans have fun with that one 
307,1,@skinnycat01 Well at least you got my Twitter Name right 
308,1,@skinnylaminx it's yet another thing to while away the time.  it's like mini-blogging.
309,1,"@skinnylatte Thaks for the gyan, hopefuly will see you at the rickshaw challenge in Chennai "
310,1,@SKINNYMENOW you kicked my ass today! Pecs are sore and it's only been 12 hours since we worked out. Can't wait until tomorrow - sarcasm 
311,1,@skinnyribs haha okay! I'm totally expecting gaining 10 pounds anyways hahaha. thanks mazzeh 
312,1,"@skinnyribs whatever! maz's paintings are always awesome  ! good  just woke up, planning what to do with my day! paint? draw? nothing?!"
313,1,"@skinnytutle692 I can't handle the drums on that game at all, you must be amazing. "
314,1,@SKINTHIWATT  why u wearing your glasses? 
315,1,"@SKINTHIWATT Im great thx, how r u "
316,1,"@skintweety Hi! None of my biz, but I noticed you unfollowed me. I'm sorry if I offended you somehow. Thx for all your skincare advice! "
317,1,@Skip_McGrath Hi I am a small seller on ebay. I get your newsletters. I signed up but is there more info on netspray? I am following you 
318,1,@skip1024 anytime dad  tweet me tomrw!
319,1,@SkipAnderson Your welcome  it's only a little back from what i learn reading your blog
320,1,"@skipenko ????????? ?????? ?? ???????, ?? ???? just 4 fun #twitteraddict "
321,1,"@skippy_josh you should realise...yes...it does pop up alot. but seeing as noones following you but me, doesnt really matter! "
322,1,@SkiptheZip Thanks.  Hahah well hopefully your internet gets fixed soon...
323,1,@skirkendall you go girl!  Good for you 
324,1,@Skistar15 no true story.... i shared my one bottle.. arent i knid 
325,1,@skitles would you ever even get the chance to go on tv? 
326,1,"@skitterrusty You know, I actually dread using MobileSafari on my iPod because all the ads return &amp; pages load sooo damned slowwww!!!  heh"
327,1,@skittlecloudx why yes i am. i'm watching episode 10 of the first season of arrested development 
328,1,@Skittles_Boy Are you there for the long weekend? 
329,1,@skittles15th aww 
330,1,@Skittles3640 HAPPY B~DAYYY!!! WOO HOO OLD LADY! 
331,1,@SkitzsoDaDoc heyyy~ THX for the #FF shot out!! :-D ~u back in the 3-0-5 yet?? 
332,1,@SKJiro hahahha i said that out loud and started laughing sooo funny 
333,1,@SkkynDream my bets start at $50. That's how much my white girl swallow to get full 
334,1,@skl_p3ace I aim to please 
335,1,"@sklemp Well, we've only been using it for a day now, but so far, it's completely awesome. Super fast, no discs needed, way cool. "
336,1,"@sklososky Thanks so much!!! ...from one of your *very* happy Kindle2 winners ; ) I was so surprised, fabulous. Thank you! Best, Kathleen"
337,1,@sklyertatum  I was intrigued by the conversation.  Haha.  
338,1,"@sknox40 Ohhh I love it there. All the delicious, tiny food! Enjoy "
339,1,@skoduri it's not aerial particularly - i was just shooting from a rooftop 
340,1,@skoduri naah just regular - sony pix or some such 
341,1,@skoroneos  last drop of stored sunshine (sun-&gt;solar cell-&gt;12v lead-acid-&gt;inverter 240v-&gt;powerbrick-&gt; Macbook air) run out. now pluggedin
342,1,@skoroth hi there... nice to meet another person from cochin... 
343,1,@SkorpionEnt No prob and will do! Hope U guys have a great day! 
344,1,"@skotot Oh, that said, the sellout was a fluke. It turns out the projector was broken.   I still think the film is bloody good times, tho."
345,1,@skottieyoung Then you're gonna hate this reply!   Love!
346,1,@SkourasAgency Thank You Very Much! 
347,1,@SkoutTradeFair they also have a green curry paste in the same brand - good GF thai 
348,1,@skovi I can't wait to hear more about your documentary. I admire you for what you do. 
349,1,"@skovi Now that I've finally eaten, I'm friendly again. I promise I won't bite again. Coffee on an empty stomach is bad. "
350,1,@SkreamQween Good to hear you're still rolling 
351,1,@skreeloz well That's fun 
352,1,@skreened you guys should come out with shop customization 
353,1,@Skrepka que chingÃ³n! 
354,1,@Skrepka So fly for the airlines? Or boats? 
355,1,@skribe LOL! Hello you! How's life been treating you? We must catch up again soon... 
356,1,@skribe Well that's comforting 
357,1,@skrobertson ohh lol im 16 too  but shes cooking brekfast!
358,1,@skrooz agreed miss S 
359,1,"@skrteligans  why limit your story to 140 ch. Tell all what is annoying you at www.iamsoannoyed.com ,it will help relieve your stress "
360,1,@SKSofCalifornia I was thinking about that but for the time and effort... I'll stick with my core business. 
361,1,@SKSStacie i found the video on youtube? can you cut it from that???   http://bit.ly/Idycn  9:20
362,1,@skula wow my last reply made like no sense.  I think It's time for bed 
363,1,"@Skulfrak - Happy to hear you made it safe, Jeff! How many hours driving? Hope it works out well there! "
364,1,@skullduggeryyy I'll look them up  I'm meant to work on Wednesday but I really don't want to because last time was so terrible
365,1,"@skulljammer @jimhanna i don't know how you managed to make video games so girly, but congrats "
366,1,@Skullwalker  I know my browser is a mess right now. Must be catching!!
367,1,@SKULLYMANDER thanks  would love to have people hit the blog and give CS a listen who normallly wouldnt
368,1,@SkullyVanTerror cosmetology school??? kick ass! that's WONDERFUL! 
369,1,@SkullyVanTerror wow! sounds like you definitely made some memories! 
370,1,@skunkworker Odds are that its separate. 
371,1,@SkunKy_86 Caught up Skanky  Caught by the internet  How r u?
372,1,"@skustes Scott, send a message to me at richeng1223@gmail.com and I'll get you the recipe for my wife's Chinese ribs "
373,1,@skutsdead I was surprised I was!  I miss your face bee tee dub!  
374,1,@skweeds Thanks! 
375,1,@Sky_1995 hey how are you? 
376,1,@Sky_1995 not anymore 
377,1,"@Sky_1995 sorryyy. i gotta go now, my mom want to go to this computer. i'll talk to u some other time "
378,1,@Sky_Breaker ooc:  Thank you
379,1,@sky14kemea Because you don't make your name publicly available. My name's Mike 
380,1,"@sky14kemea Go for the Noodle! Unless it's your last one, then you'll have no breakfast "
381,1,@skyandnat you just tweet.....and hope you get followers... 
382,1,@skybluberrie Haha she's your problem now 
383,1,"@skybluedesigns2 Eleven years and 130,668 miles. No air conditioning but gets me where I need to go and paid off. "
